verb,count
append,48360
add,11626
put,10803
decode,10319
write,7416
get,6568
access,6497
create,6418
read,6093
value,4416
size,3729
remove,3373
fill,3098
check,2975
draw,2807
do,2399
char,2363
print,2112
close,1982
paint,1943
start,1870
parse,1790
clone,1647
trace,1497
equal,1491
update,1444
index,1439
contain,1298
position,1293
debug,1275
handle,1232
reset,1211
type,1208
report,1201
end,1183
find,1160
clear,1158
load,1154
line,1095
log,1064
format,1037
make,966
class,963
encode,960
fire,950
insert,917
visit,908
dispose,908
translate,884
compare,867
process,834
copy,789
set,753
intern,717
register,694
match,658
default,643
install,638
invoke,613
flush,598
ensure,578
replace,568
skip,558
repaint,551
last,528
notify,491
convert,487
limit,483
trim,476
pop,463
peek,456
send,449
unlock,446
throw,444
push,438
fine,417
long,392
validate,378
localize,378
move,356
array,354
resolve,350
string,347
scan,343
open,335
wrap,333
post,327
name,319
mark,315
emit,314
initialize,313
select,308
need,305
execute,304
key,303
curve,301
avail,296
run,284
code,282
remain,280
calculate,278
lock,267
normalize,267
can,266
double,241
wait,240
release,233
bind,231
map,230
store,226
list,223
request,220
delete,215
compile,214
exist,212
define,209
return,206
invalidate,200
extract,197
compute,196
accept,196
connect,195
show,192
message,191
transform,188
warn,186
sort,182
generate,181
traverse,179
allocate,175
mouse,174
adjust,173
count,173
free,172
resize,172
stop,172
invalid,170
begin,166
apply,165
build,163
verify,163
float,163
dispatch,162
empty,161
expand,161
interrupt,160
use,158
synchronize,150
target,148
consume,147
sub,147
call,146
dump,145
destroy,137
finish,136
merge,136
object,134
sever,133
exit,132
marshal,131
cancel,131
fetch,125
scale,122
fix,121
fail,120
round,117
indent,117
derive,116
output,113
change,113
expect,113
floor,113
search,112
short,110
evaluate,109
intersect,109
test,109
display,108
configure,108
declare,108
orb,107
split,106
swap,106
except,104
prefer,102
export,102
serialize,98
scroll,98
transport,95
model,95
adapt,94
prepare,88
try,87
clean,86
zero,84
focus,84
hide,82
locate,81
poll,81
window,80
save,80
reverse,80
enable,80
sleep,80
escape,79
sync,79
narrow,78
duplicate,78
activate,77
acquire,77
signal,76
hash,76
digest,74
strip,72
co,72
parent,72
seek,71
advance,70
clip,70
compact,70
align,70
construct,68
x,68
rotate,68
stack,68
comment,67
number,66
look,66
unwrap,66
multiply,66
address,65
support,65
child,65
walk,65
detach,64
block,63
hex,63
word,62
modify,61
action,61
compose,60
group,60
cache,60
subtract,59
flip,58
port,58
transfer,57
restore,57
base,56
decrypt,56
query,56
disconnect,56
content,56
drag,56
image,56
abort,55
obtain,55
assert,55
rebind,53
cast,53
enter,52
complete,52
filter,52
